#BLTrackFile VirtualDetector/beamDet
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-28.881 17.8096 99010 -37.2651 -12.3115 199.454 812.505 -13 2 1 0 1
-42.9836 -0.124781 99010 -42.8271 -38.4455 225.928 812.796 -13 3 1 0 1
-18.2873 3.89713 99010 -15.1096 -2.68324 214.139 812.385 -13 4 1 0 1
-15.5284 19.738 99010 -30.0343 -25.5663 179.811 812.648 -13 6 1 0 1
-24.8222 21.369 99010 -41.0575 -12.1745 209.211 812.401 -13 7 1 0 1
-12.1031 22.8396 99010 -41.3682 2.20471 213.773 812.524 -13 8 1 0 1
2.09224 10.4934 99010 -6.95973 9.76063 224.25 812.615 -13 9 1 0 1
-32.6944 -3.51343 99010 -30.5153 -37.9599 210.646 812.538 -13 10 1 0 1
8.94852 23.7487 99010 -18.3292 6.62647 212.003 812.743 -13 12 1 0 1
7.6403 47.0412 99010 -48.3482 27.6547 200.758 812.703 -13 14 1 0 1
-14.4966 8.1095 99010 -26.5788 5.16203 213.325 812.6 -13 15 1 0 1
-27.3457 30.8262 99010 -65.5948 5.16825 222.259 812.7 -13 16 1 0 1
3.29572 25.5699 99010 -17.7909 31.2792 229.495 812.552 -13 18 1 0 1
8.58853 12.8341 99010 -13.6367 17.5296 229.33 812.946 -13 19 1 0 1
-14.5362 32.1431 99010 -53.5132 8.126 204.427 812.552 -13 20 1 0 1
-8.84132 24.8272 99010 -36.6412 -7.79922 191.559 812.693 -13 21 1 0 1
-2.39821 13.0006 99010 -19.1789 -6.696 199.127 812.648 -13 22 1 0 1
-45.0245 -19.4478 99010 -35.4606 -56.5454 224.985 812.523 -13 23 1 0 1
-14.1671 0.221083 99010 -16.5515 -13.4928 211.762 812.88 -13 24 1 0 1
-9.35517 14.9835 99010 -23.6949 10.6873 219.818 812.347 -13 25 1 0 1
-16.3754 3.77427 99010 -22.268 -7.07227 223.194 812.482 -13 26 1 0 1
-10.1257 10.85 99010 -24.3638 -6.58823 227.413 812.764 -13 27 1 0 1
12.1156 12.6836 99010 -14.1753 15.2766 210.954 812.745 -13 28 1 0 1
-17.7842 19.0447 99010 -31.1189 4.60515 222.3 812.858 -13 29 1 0 1
3.8566 2.18419 99010 -7.32921 2.39208 227.933 812.467 -13 30 1 0 1
8.41484 -0.0575112 99010 -9.02818 8.19186 219.973 812.72 -13 31 1 0 1
-19.6142 21.2905 99010 -20.1375 -10.259 203.416 812.627 -13 32 1 0 1
-19.1261 10.8785 99010 -38.3903 -20.6891 196.214 812.602 -13 34 1 0 1
-8.96359 26.5103 99010 -26.746 2.25359 218.384 812.38 -13 35 1 0 1
-15.7575 5.58552 99010 -15.8223 -35.4431 198.589 812.71 -13 36 1 0 1
-13.2889 13.6735 99010 -24.299 -3.912 202.319 812.659 -13 37 1 0 1
