#BLTrackFile VirtualDetector/finalPhase
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
9.95344 11.2618 12000 0.659905 3.91819 200.238 45.4039 -13 1 1 0 1
-15.2123 20.2066 12000 -2.88486 4.5698 201.313 45.6897 -13 2 1 0 1
-13.1383 -38.9871 12000 -5.47488 -4.33025 201.93 45.7602 -13 3 1 0 1
-38.1507 -22.1172 12000 -3.55556 1.84595 196.28 45.5199 -13 4 1 0 1
-27.2099 -2.65221 12000 3.22434 -0.816662 203.022 45.7992 -13 5 1 0 1
-39.0116 42.6083 12000 -4.34857 4.37236 199.86 45.7855 -13 6 1 0 1
34.0921 -92.0917 12000 2.56324 -12.1717 200.455 45.4749 -13 7 1 0 1
-19.4821 6.84893 12000 -0.28732 2.48 197.071 45.4706 -13 8 1 0 1
-10.4346 26.7258 12000 1.8325 -0.297569 197.136 45.947 -13 9 1 0 1
-23.551 29.2368 12000 -0.359104 6.26606 201.64 45.8652 -13 10 1 0 1
11.9195 5.1639 12000 1.88582 2.27482 198.403 46.1309 -13 11 1 0 1
19.1776 34.1839 12000 3.76228 6.14912 199.225 46.0781 -13 12 1 0 1
19.9908 2.10379 12000 4.39218 1.18739 199.676 45.6013 -13 13 1 0 1
94.222 -19.5535 12000 13.1673 -0.160825 200.475 45.4902 -13 14 1 0 1
36.543 -23.9675 12000 4.65934 -3.64662 202.051 45.672 -13 15 1 0 1
22.6323 44.144 12000 6.00408 4.6006 204.277 45.7016 -13 16 1 0 1
-48.9113 12.6924 12000 -5.83387 4.05668 199.817 45.4392 -13 17 1 0 1
21.7913 25.9719 12000 4.41723 1.89218 196.657 45.473 -13 18 1 0 1
0.0534519 12.2954 12000 1.8228 0.756609 197.989 46.1036 -13 19 1 0 1
-5.84056 -39.3713 12000 -0.545299 -2.70691 201.256 45.8898 -13 20 1 0 1
-47.0636 -1.48392 12000 -8.87027 1.06727 198.265 45.5922 -13 21 1 0 1
58.3303 -25.6012 12000 0.751947 -2.00961 200.554 45.6194 -13 22 1 0 1
29.7601 30.5162 12000 6.36085 2.67225 199.94 45.7876 -13 23 1 0 1
9.08358 -48.1517 12000 -1.50086 -3.9857 201.453 45.8115 -13 24 1 0 1
38.9459 28.9439 12000 4.31275 4.54716 202.465 45.7092 -13 25 1 0 1
4.47232 33.4013 12000 1.74155 2.62076 195.462 45.5122 -13 26 1 0 1
-57.1445 -8.9283 12000 -5.4329 0.0105469 201.818 45.8446 -13 27 1 0 1
14.4027 -27.9416 12000 2.62457 -0.879466 201.379 45.9072 -13 29 1 0 1
-4.47177 -23.0397 12000 -1.17885 -1.66324 198.801 45.4849 -13 30 1 0 1
9.48702 -0.228322 12000 -0.589809 0.17972 198.445 46.0061 -13 31 1 0 1
7.44644 18.6307 12000 -2.26321 0.0529846 199.578 46.0789 -13 32 1 0 1
2.16456 11.607 12000 -0.0747449 0.841657 201.907 45.5217 -13 33 1 0 1
33.2996 -45.1331 12000 3.00448 -7.61046 197.732 45.7393 -13 34 1 0 1
-8.58989 15.5453 12000 -2.61165 -0.0281397 197.812 45.5457 -13 35 1 0 1
-16.7702 -5.62759 12000 -2.1442 0.434063 197.875 45.4832 -13 36 1 0 1
-9.35736 -17.5532 12000 2.7808 -0.925953 196.451 45.6192 -13 37 1 0 1
-30.2722 21.6433 12000 -2.56853 3.09203 201.367 45.6319 -13 38 1 0 1
35.5114 20.9791 12000 2.87829 0.0443249 201.935 45.6274 -13 39 1 0 1
